decade,country,name,n
1970,PRT,Portugal,1
1970,RUS,Russia,5
1970,SWE,Sweden,1
1970,USA,United States,6
1980,AFG,Afghanistan,1
1980,ARG,Argentina,3
1980,AUS,Australia,4
1980,AUT,Austria,1
1980,BEL,Belgium,1
1980,BOL,Bolivia,2
1980,BRA,Brazil,1
1980,CAN,Canada,4
1980,CHE,Switzerland,2
1980,COL,Colombia,2
1980,DEU,Germany,2
1980,GBR,United Kingdom,1
1980,HRV,Croatia,1
1980,IND,India,1
1980,IRN,Iran,1
1980,ISR,Israel,1
1980,POL,Poland,2
1980,RUS,Russia,3
1980,UKR,Ukraine,1
1980,USA,United States,3
1990,ARG,Argentina,1
1990,AUS,Australia,1
1990,BEL,Belgium,1
1990,CAN,Canada,2
1990,HKG,Hong Kong SAR China,1
